x,y,z,labels
-0.586280167,-9.599552155,-1.457470298,still
-0.586280167,-9.599552155,-1.457470298,still
-0.380378783,-9.685743332,-1.352125406,still
-0.298975945,-9.721655846,-1.629852772,still
-0.603039563,-9.563638687,-1.086369038,still
-0.995688617,-9.719262123,-1.364096403,still
-0.995688617,-9.719262123,-1.364096403,still
-0.468964249,-9.853337288,-1.546055794,still
-0.531213522,-9.654618263,-1.22523272,still
-0.591068566,-9.635464668,-1.237203717,still
-0.461781651,-9.680954933,-1.093551636,still
-0.583885968,-9.752780914,-1.423951507,still
-0.447416455,-9.731232643,-1.323395014,still
-0.569520712,-9.671378136,-1.230021119,still
-0.516848266,-9.652224541,-1.251568913,still
-0.447416455,-9.707290649,-1.304241419,still
-0.387561411,-9.628282547,-1.287482023,still
-0.42586863,-9.683348656,-1.404797792,still
-0.406715006,-9.673771858,-1.419163108,still
-0.339677364,-9.587580681,-1.368884802,still
-0.332494766,-9.680954933,-1.385644197,still
-0.440233827,-9.716867447,-1.469441295,still
-0.440233827,-9.716867447,-1.469441295,still
-0.490512073,-9.673771858,-1.371279001,still
-0.291793346,-9.683348656,-1.455076098,still
-0.291793346,-9.683348656,-1.455076098,still
-0.394744009,-9.695320129,-1.457470298,still
-0.387561411,-9.657012939,-1.457470298,still
-0.42586863,-9.680954933,-1.400009394,still
-0.370801985,-9.599552155,-1.304241419,still
-0.342071563,-9.716867447,-1.4502877,still
-0.35404259,-9.625887871,-1.440710902,still
-0.35404259,-9.625887871,-1.440710902,still
-0.31573534,-9.676166534,-1.419163108,still
-0.22475569,-9.649829865,-1.467047095,still
-0.334888965,-9.666589737,-1.438316703,still
-0.366013587,-9.700108528,-1.464652896,still
-0.366013587,-9.700108528,-1.464652896,still
-0.366013587,-9.700108528,-1.464652896,still
-0.344465762,-9.642647743,-1.419163108,still
-0.332494766,-9.671378136,-1.431134105,still
-0.373196185,-9.640253067,-1.459864497,still
-0.301370144,-9.664195061,-1.4502877,still
-0.282216519,-9.640253067,-1.435922503,still
-0.377984583,-9.652224541,-1.469441295,still
-0.377984583,-9.652224541,-1.469441295,still
-0.124199212,-9.61870575,-1.467047095,still
-0.124199212,-9.61870575,-1.467047095,still
-0.243909299,-9.685743332,-1.479018092,still
-0.27982232,-9.63067627,-1.373673201,still
-0.27982232,-9.63067627,-1.373673201,still
-0.272639722,-9.671378136,-1.440710902,still
-0.310946941,-9.664195061,-1.433528304,still
-0.291793346,-9.657012939,-1.421557307,still
-0.248697698,-9.645041466,-1.404797792,still
